Government level,State/UT,Ministry,Department,Category,Source name,Official URL,API URL,Has API,Formats,Has schemes,Has facility DB,Has registration data,Data fields,Update frequency,Reuse/licensing,Access method,Research status,Notes,Last checked
state,Madhya Pradesh,,Rural Development Department,schemes,Madhya Pradesh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Madhya Pradesh,,Urban Development / Municipal (Homeless Shelters),facilities,Madhya Pradesh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Social Welfare Department,mixed,Maharashtra — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Women & Child Development Department,mixed,Maharashtra — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Health & Family Welfare Department,facilities,Maharashtra — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Disability / Divyangjan Commissionerate,mixed,Maharashtra — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Rural Development Department,schemes,Maharashtra — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Maharashtra,,Urban Development / Municipal (Homeless Shelters),facilities,Maharashtra — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Social Welfare Department,mixed,Manipur — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Women & Child Development Department,mixed,Manipur — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Health & Family Welfare Department,facilities,Manipur — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Disability / Divyangjan Commissionerate,mixed,Manipur — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Rural Development Department,schemes,Manipur — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Manipur,,Urban Development / Municipal (Homeless Shelters),facilities,Manipur — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Social Welfare Department,mixed,Meghalaya — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Women & Child Development Department,mixed,Meghalaya — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Health & Family Welfare Department,facilities,Meghalaya — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Disability / Divyangjan Commissionerate,mixed,Meghalaya — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Rural Development Department,schemes,Meghalaya — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Meghalaya,,Urban Development / Municipal (Homeless Shelters),facilities,Meghalaya — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Social Welfare Department,mixed,Mizoram — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Women & Child Development Department,mixed,Mizoram — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Health & Family Welfare Department,facilities,Mizoram — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Disability / Divyangjan Commissionerate,mixed,Mizoram — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Rural Development Department,schemes,Mizoram — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Mizoram,,Urban Development / Municipal (Homeless Shelters),facilities,Mizoram — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Social Welfare Department,mixed,Nagaland — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Women & Child Development Department,mixed,Nagaland — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Health & Family Welfare Department,facilities,Nagaland — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Disability / Divyangjan Commissionerate,mixed,Nagaland — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Rural Development Department,schemes,Nagaland — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Nagaland,,Urban Development / Municipal (Homeless Shelters),facilities,Nagaland — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Social Welfare Department,mixed,Odisha — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Women & Child Development Department,mixed,Odisha — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Health & Family Welfare Department,facilities,Odisha — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Disability / Divyangjan Commissionerate,mixed,Odisha — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Rural Development Department,schemes,Odisha — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Odisha,,Urban Development / Municipal (Homeless Shelters),facilities,Odisha — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Social Welfare Department,mixed,Punjab — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Women & Child Development Department,mixed,Punjab — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Health & Family Welfare Department,facilities,Punjab — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Disability / Divyangjan Commissionerate,mixed,Punjab — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Rural Development Department,schemes,Punjab — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Punjab,,Urban Development / Municipal (Homeless Shelters),facilities,Punjab — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Social Welfare Department,mixed,Rajasthan — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Women & Child Development Department,mixed,Rajasthan — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Health & Family Welfare Department,facilities,Rajasthan — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Disability / Divyangjan Commissionerate,mixed,Rajasthan — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Rural Development Department,schemes,Rajasthan — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Rajasthan,,Urban Development / Municipal (Homeless Shelters),facilities,Rajasthan — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Social Welfare Department,mixed,Sikkim — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Women & Child Development Department,mixed,Sikkim — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Health & Family Welfare Department,facilities,Sikkim — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Disability / Divyangjan Commissionerate,mixed,Sikkim — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Rural Development Department,schemes,Sikkim — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Sikkim,,Urban Development / Municipal (Homeless Shelters),facilities,Sikkim — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Social Welfare Department,mixed,Tamil Nadu — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Women & Child Development Department,mixed,Tamil Nadu — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Health & Family Welfare Department,facilities,Tamil Nadu — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Disability / Divyangjan Commissionerate,mixed,Tamil Nadu — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Rural Development Department,schemes,Tamil Nadu — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tamil Nadu,,Urban Development / Municipal (Homeless Shelters),facilities,Tamil Nadu — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Social Welfare Department,mixed,Telangana — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Women & Child Development Department,mixed,Telangana — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Health & Family Welfare Department,facilities,Telangana — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Disability / Divyangjan Commissionerate,mixed,Telangana — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Rural Development Department,schemes,Telangana — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Telangana,,Urban Development / Municipal (Homeless Shelters),facilities,Telangana — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Social Welfare Department,mixed,Tripura — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Women & Child Development Department,mixed,Tripura — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Health & Family Welfare Department,facilities,Tripura — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Disability / Divyangjan Commissionerate,mixed,Tripura — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Rural Development Department,schemes,Tripura — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Tripura,,Urban Development / Municipal (Homeless Shelters),facilities,Tripura — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Social Welfare Department,mixed,Uttarakhand — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Women & Child Development Department,mixed,Uttarakhand — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Health & Family Welfare Department,facilities,Uttarakhand — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Disability / Divyangjan Commissionerate,mixed,Uttarakhand — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Rural Development Department,schemes,Uttarakhand — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Uttarakhand,,Urban Development / Municipal (Homeless Shelters),facilities,Uttarakhand — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Social Welfare Department,mixed,West Bengal — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Women & Child Development Department,mixed,West Bengal — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Health & Family Welfare Department,facilities,West Bengal — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Disability / Divyangjan Commissionerate,mixed,West Bengal — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Rural Development Department,schemes,West Bengal — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,West Bengal,,Urban Development / Municipal (Homeless Shelters),facilities,West Bengal — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Social Welfare Department,mixed,Andaman and Nicobar Islands — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Women & Child Development Department,mixed,Andaman and Nicobar Islands — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Health & Family Welfare Department,facilities,Andaman and Nicobar Islands — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Disability / Divyangjan Commissionerate,mixed,Andaman and Nicobar Islands — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Rural Development Department,schemes,Andaman and Nicobar Islands — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Andaman and Nicobar Islands,,Urban Development / Municipal (Homeless Shelters),facilities,Andaman and Nicobar Islands — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Social Welfare Department,mixed,Chandigarh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Women & Child Development Department,mixed,Chandigarh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Health & Family Welfare Department,facilities,Chandigarh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Disability / Divyangjan Commissionerate,mixed,Chandigarh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Rural Development Department,schemes,Chandigarh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Chandigarh,,Urban Development / Municipal (Homeless Shelters),facilities,Chandigarh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Social Welfare Department,mixed,Dadra and Nagar Haveli and Daman and Diu — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Women & Child Development Department,mixed,Dadra and Nagar Haveli and Daman and Diu — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Health & Family Welfare Department,facilities,Dadra and Nagar Haveli and Daman and Diu — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Disability / Divyangjan Commissionerate,mixed,Dadra and Nagar Haveli and Daman and Diu — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Rural Development Department,schemes,Dadra and Nagar Haveli and Daman and Diu — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Dadra and Nagar Haveli and Daman and Diu,,Urban Development / Municipal (Homeless Shelters),facilities,Dadra and Nagar Haveli and Daman and Diu — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Social Welfare Department,mixed,Delhi — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Women & Child Development Department,mixed,Delhi — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Health & Family Welfare Department,facilities,Delhi — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Disability / Divyangjan Commissionerate,mixed,Delhi — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Rural Development Department,schemes,Delhi — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Delhi,,Urban Development / Municipal (Homeless Shelters),facilities,Delhi — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
ut,Jammu and Kashmir,,Social Welfare Department,mixed,Jammu and Kashmir — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
